system:index,key,.geo
Accipiter_gentilis1,5.1079128580675446E10,
Accipiter_gentilis3,3.093176749738123E9,
Accipiter_nisus1,3.69469501264383E9,
Accipiter_nisus2,2.94959592088011E10,
Accipiter_nisus3,5.516845664515465E9,
Bucephala_clangula2,4.294422159220889E10,
Bucephala_clangula3,1.4729981377688908E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,8.651083625579853E9,
Coccyzus_americanus3,4.0647074008585266E10,
Contopus_cooperi2,1.8373775650254063E10,
Contopus_cooperi3,2.363695478765362E10,
Cuculus_canorus2,3.6884548163185844E10,
Cuculus_canorus3,7.998005693300313E9,
Onychorhynchus_coronatus1,2.405879684610685E10,
Tringa_ochropus2,3.0177328056284058E10,
Tringa_ochropus3,1.7414497581090622E10,
Tringa_solitaria2,1.1601161665437027E10,
Tringa_solitaria3,4.409328712610574E10,
Vireo_olivaceus1,3.5146261287888565E10,
Vireo_olivaceus2,2.7020123358448193E10,
