system:index,key,.geo
Accipiter_gentilis1,3.4904107941238945E10,
Accipiter_gentilis3,9.791190098756051E8,
Accipiter_nisus1,2.4883458611798816E9,
Accipiter_nisus2,1.7579127391980156E10,
Accipiter_nisus3,1.0654038054701561E9,
Bucephala_clangula2,2.891210943468242E10,
Bucephala_clangula3,1.115247936526242E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,7.21815546126136E9,
Coccyzus_americanus3,2.7702505481214447E10,
Contopus_cooperi2,1.490755269987831E10,
Contopus_cooperi3,1.7431209627323967E10,
Cuculus_canorus2,2.0955789235449276E10,
Cuculus_canorus3,2.6614655913982434E9,
Onychorhynchus_coronatus1,1.0325722325302702E10,
Tringa_ochropus2,1.8589670606160667E10,
Tringa_ochropus3,4.911845463705589E9,
Tringa_solitaria2,1.0163547824297077E10,
Tringa_solitaria3,2.928790189578089E10,
Vireo_olivaceus1,2.4017473460760605E10,
Vireo_olivaceus2,2.008112243222665E10,
