system:index,key,.geo
Accipiter_gentilis1,4.201255738801248E10,
Accipiter_gentilis3,1.9603614924979882E9,
Accipiter_nisus1,3.998581935472813E9,
Accipiter_nisus2,1.4671570791342186E10,
Accipiter_nisus3,2.6248533279836326E9,
Bucephala_clangula2,3.391268563142191E10,
Bucephala_clangula3,1.5782987570425121E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,1.0139622006509447E10,
Coccyzus_americanus3,2.5702578026917587E10,
Contopus_cooperi2,2.3560348450849323E10,
Contopus_cooperi3,1.657892881430382E10,
Cuculus_canorus2,2.0811304484103935E10,
Cuculus_canorus3,5.06001116000398E9,
Onychorhynchus_coronatus1,1.2891068689458471E10,
Tringa_ochropus2,1.6699600210429987E10,
Tringa_ochropus3,1.0866657749949142E10,
Tringa_solitaria2,1.7261930893827824E10,
Tringa_solitaria3,2.7573997365107433E10,
Vireo_olivaceus1,2.1758257658526302E10,
Vireo_olivaceus2,2.6982021509404564E10,
