system:index,key,.geo
Accipiter_gentilis1,5.411400060962651E10,
Accipiter_gentilis3,1.4955379649289834E9,
Accipiter_nisus1,1.8832988468979697E9,
Accipiter_nisus2,3.0812241454642754E10,
Accipiter_nisus3,2.7218814572767167E9,
Bucephala_clangula2,4.908651516889872E10,
Bucephala_clangula3,1.0543835074902346E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,6.795012069757501E9,
Coccyzus_americanus3,1.405708322322375E10,
Contopus_cooperi2,2.043228010956322E10,
Contopus_cooperi3,6.211688127219998E9,
Cuculus_canorus2,3.444748099114971E10,
Cuculus_canorus3,5.185496141787967E9,
Onychorhynchus_coronatus1,5.219276805459532E9,
Tringa_ochropus2,3.144688406176782E10,
Tringa_ochropus3,1.1709590698710146E10,
Tringa_solitaria2,1.6145675065461267E10,
Tringa_solitaria3,1.517472998160062E10,
Vireo_olivaceus1,9.998752755229843E9,
Vireo_olivaceus2,1.8849772550431023E10,
