system:index,key,.geo
Accipiter_gentilis1,3.3278024775465626E10,
Accipiter_gentilis3,8.470731491096878E8,
Accipiter_nisus1,6.615859061887501E8,
Accipiter_nisus2,9.765231402486559E9,
Accipiter_nisus3,1.6120599188350005E9,
Bucephala_clangula2,2.9735221395548733E10,
Bucephala_clangula3,7.182900531763123E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,4.589276693772501E9,
Coccyzus_americanus3,1.0754172743873756E10,
Contopus_cooperi2,2.299604166480843E10,
Contopus_cooperi3,5.450887253765E9,
Cuculus_canorus2,1.1434254358484686E10,
Cuculus_canorus3,2.5039646234E9,
Onychorhynchus_coronatus1,4.491325696971877E9,
Tringa_ochropus2,1.0018184141012812E10,
Tringa_ochropus3,7.141564278315002E9,
Tringa_solitaria2,1.9553205675808422E10,
Tringa_solitaria3,1.1402505495775005E10,
Vireo_olivaceus1,8.231107278733757E9,
Vireo_olivaceus2,2.1742353679753746E10,
