system:index,key,.geo
Accipiter_gentilis1,3.4886283122356255E10,
Accipiter_gentilis3,4.7415409393687487E8,
Accipiter_nisus1,6.900391071687498E8,
Accipiter_nisus2,1.5117297412115E10,
Accipiter_nisus3,3.7373965816875005E8,
Bucephala_clangula2,3.0506940775966263E10,
Bucephala_clangula3,8.049219291159691E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,4.380050117083755E9,
Coccyzus_americanus3,2.4147941072019375E10,
Contopus_cooperi2,1.801615803211159E10,
Contopus_cooperi3,1.6087316768260004E10,
Cuculus_canorus2,1.6390953736150938E10,
Cuculus_canorus3,9.57915099208125E8,
Onychorhynchus_coronatus1,9.866489637483768E9,
Tringa_ochropus2,1.3936468213449064E10,
Tringa_ochropus3,3.547858319871875E9,
Tringa_solitaria2,1.4805713877174706E10,
Tringa_solitaria3,2.4453641401689377E10,
Vireo_olivaceus1,2.0530986706013123E10,
Vireo_olivaceus2,1.7131871563535007E10,
