system:index,key,.geo
Accipiter_gentilis1,2.6722109719447174E10,
Accipiter_gentilis3,4.20643513908125E8,
Accipiter_nisus1,7.339204057593751E8,
Accipiter_nisus2,4.785432724163124E9,
Accipiter_nisus3,4.058696892581249E8,
Bucephala_clangula2,2.3820000750494682E10,
Bucephala_clangula3,6.672450223547809E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,4.803086058366873E9,
Coccyzus_americanus3,2.1307469341382492E10,
Contopus_cooperi2,1.9853857484339664E10,
Contopus_cooperi3,1.4502880557140007E10,
Cuculus_canorus2,5.850422348857811E9,
Cuculus_canorus3,1.2059686200712502E9,
Onychorhynchus_coronatus1,1.1054336324521257E10,
Tringa_ochropus2,4.85305862921656E9,
Tringa_ochropus3,3.668329467568751E9,
Tringa_solitaria2,1.7873151829244354E10,
Tringa_solitaria3,2.2049256789473736E10,
Vireo_olivaceus1,1.7507005017355007E10,
Vireo_olivaceus2,1.7792887203739674E10,
