system:index,key,.geo
Accipiter_gentilis1,2.545365308461723E10,
Accipiter_gentilis3,3.0560788418499994E8,
Accipiter_nisus1,5.9790671113625E8,
Accipiter_nisus2,1.3946954294185028E10,
Accipiter_nisus3,2.0491177769875E8,
Bucephala_clangula2,2.229861132204941E10,
Bucephala_clangula3,5.771488769530314E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,3.3674395589318757E9,
Coccyzus_americanus3,1.8672529839236263E10,
Contopus_cooperi2,1.0783776945297806E10,
Contopus_cooperi3,1.1740738402742523E10,
Cuculus_canorus2,1.4783125626273773E10,
Cuculus_canorus3,8.308155826499999E8,
Onychorhynchus_coronatus1,6.276401619730628E9,
Tringa_ochropus2,1.3685143629907528E10,
Tringa_ochropus3,1.7415943521925008E9,
Tringa_solitaria2,8.014485996945624E9,
Tringa_solitaria3,1.912102000998439E10,
Vireo_olivaceus1,1.608184639205064E10,
Vireo_olivaceus2,1.204437159303812E10,
