system:index,name,treecover2000,.geo
Accipiter_gentilis1,Accipiter_gentilis1,1.1607168741945303E13,
Accipiter_gentilis3,Accipiter_gentilis3,7.562994488575615E11,
Accipiter_nisus1,Accipiter_nisus1,2.2259165131645684E12,
Accipiter_nisus2,Accipiter_nisus2,5.397895060050935E12,
Accipiter_nisus3,Accipiter_nisus3,1.7798695982836262E12,
Bucephala_clangula2,Bucephala_clangula2,8.512419915238137E12,
Bucephala_clangula3,Bucephala_clangula3,3.842134240104476E12,
Coccyzus_americanus1,Coccyzus_americanus1,0.0,
Coccyzus_americanus2,Coccyzus_americanus2,1.6766053964695437E12,
Coccyzus_americanus3,Coccyzus_americanus3,8.053971618576357E12,
Contopus_cooperi2,Contopus_cooperi2,3.969062889380911E12,
Contopus_cooperi3,Contopus_cooperi3,6.653830012719508E12,
Cuculus_canorus2,Cuculus_canorus2,9.16159727417809E12,
Cuculus_canorus3,Cuculus_canorus3,4.85754800584771E12,
Onychorhynchus_coronatus1,Onychorhynchus_coronatus1,5.365557819957295E12,
Tringa_ochropus2,Tringa_ochropus2,5.560839213636744E12,
Tringa_ochropus3,Tringa_ochropus3,7.00819465965512E12,
Tringa_solitaria2,Tringa_solitaria2,2.5559421569827554E12,
Tringa_solitaria3,Tringa_solitaria3,8.965226271338432E12,
Vireo_olivaceus1,Vireo_olivaceus1,6.972061316688638E12,
Vireo_olivaceus2,Vireo_olivaceus2,4.781279643595302E12,
