system:index,key,.geo
Accipiter_gentilis1,1.910626970860726E10,
Accipiter_gentilis3,4.7057528974828136E8,
Accipiter_nisus1,9.002817345730464E8,
Accipiter_nisus2,8.333610205296484E9,
Accipiter_nisus3,3.199451153503126E8,
Bucephala_clangula2,1.4796010219611256E10,
Bucephala_clangula3,1.0012661408831644E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,7.215663314821096E9,
Coccyzus_americanus3,1.5689825106266861E10,
Contopus_cooperi2,9.481428985472034E9,
Contopus_cooperi3,1.0484056349344677E10,
Cuculus_canorus2,9.53994545169336E9,
Cuculus_canorus3,1.8351529994248438E9,
Onychorhynchus_coronatus1,7.2006016577639E9,
Tringa_ochropus2,8.241085027434449E9,
Tringa_ochropus3,3.8838789402523417E9,
Tringa_solitaria2,5.842471790787421E9,
Tringa_solitaria3,1.6222612504510145E10,
Vireo_olivaceus1,1.3743468234974371E10,
Vireo_olivaceus2,1.581338971383953E10,
