system:index,key,.geo
Accipiter_gentilis1,3.804992530987415E10,
Accipiter_gentilis3,9.314183938758198E8,
Accipiter_nisus1,2.3599609752233553E9,
Accipiter_nisus2,1.5404861902945868E10,
Accipiter_nisus3,8.742742856674609E8,
Bucephala_clangula2,3.0822064783788193E10,
Bucephala_clangula3,1.3311094235892933E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,8.382039017460745E9,
Coccyzus_americanus3,2.843836963793328E10,
Contopus_cooperi2,2.0509681628746674E10,
Contopus_cooperi3,1.8971624298351276E10,
Cuculus_canorus2,1.878040092622648E10,
Cuculus_canorus3,3.7579420792378125E9,
Onychorhynchus_coronatus1,1.2851297396397364E10,
Tringa_ochropus2,1.5883682369375557E10,
Tringa_ochropus3,7.27967993967012E9,
Tringa_solitaria2,1.4256118858186502E10,
Tringa_solitaria3,2.992353584433684E10,
Vireo_olivaceus1,2.544236265398352E10,
Vireo_olivaceus2,2.305193057394018E10,
