system:index,name,treecover2000,.geo
Accipiter_gentilis1,Accipiter_gentilis1,1.1543340042236414E13,
Accipiter_gentilis3,Accipiter_gentilis3,7.514030954353247E11,
Accipiter_nisus1,Accipiter_nisus1,2.2115954367182124E12,
Accipiter_nisus2,Accipiter_nisus2,5.368828593500014E12,
Accipiter_nisus3,Accipiter_nisus3,1.7657206256288591E12,
Bucephala_clangula2,Bucephala_clangula2,8.467263145652997E12,
Bucephala_clangula3,Bucephala_clangula3,3.8191148361521953E12,
Coccyzus_americanus1,Coccyzus_americanus1,0.0,
Coccyzus_americanus2,Coccyzus_americanus2,1.6679691588767485E12,
Coccyzus_americanus3,Coccyzus_americanus3,8.028829184465739E12,
Contopus_cooperi2,Contopus_cooperi2,3.9496605048557993E12,
Contopus_cooperi3,Contopus_cooperi3,6.638772835482528E12,
Cuculus_canorus2,Cuculus_canorus2,9.107146904377105E12,
Cuculus_canorus3,Cuculus_canorus3,4.829270805830487E12,
Onychorhynchus_coronatus1,Onychorhynchus_coronatus1,5.355410363002755E12,
Tringa_ochropus2,Tringa_ochropus2,5.531367062084056E12,
Tringa_ochropus3,Tringa_ochropus3,6.963553024254358E12,
Tringa_solitaria2,Tringa_solitaria2,2.542987070554005E12,
Tringa_solitaria3,Tringa_solitaria3,8.936005793942451E12,
Vireo_olivaceus1,Vireo_olivaceus1,6.951195647435491E12,
Vireo_olivaceus2,Vireo_olivaceus2,4.759692092506382E12,
