system:index,key,.geo
Accipiter_gentilis1,6.448089184531202E10,
Accipiter_gentilis3,5.508862283487756E9,
Accipiter_nisus1,9.2852047606372E9,
Accipiter_nisus2,3.35089227096606E10,
Accipiter_nisus3,1.1257154206037992E10,
Bucephala_clangula2,5.1107956857362114E10,
Bucephala_clangula3,2.191165646413376E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,1.2254292105036886E10,
Coccyzus_americanus3,5.586218886152776E10,
Contopus_cooperi2,2.2701101603140453E10,
Contopus_cooperi3,3.4147127278170788E10,
Cuculus_canorus2,5.063003435331536E10,
Cuculus_canorus3,2.3120892955421185E10,
Onychorhynchus_coronatus1,3.2548962038535137E10,
Tringa_ochropus2,3.716335419632347E10,
Tringa_ochropus3,4.0536552869918144E10,
Tringa_solitaria2,1.363624898758329E10,
Tringa_solitaria3,6.3143147917046814E10,
Vireo_olivaceus1,4.90649481875602E10,
Vireo_olivaceus2,3.474262701569173E10,
