system:index,key,.geo
Accipiter_gentilis1,4.0764036356794815E10,
Accipiter_gentilis3,2.250548951149863E9,
Accipiter_nisus1,4.9908828544902525E9,
Accipiter_nisus2,1.544142443866484E10,
Accipiter_nisus3,3.651078949559218E9,
Bucephala_clangula2,2.9668464496991966E10,
Bucephala_clangula3,1.8646424703152313E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,1.0398287526080307E10,
Coccyzus_americanus3,2.549891830367498E10,
Contopus_cooperi2,2.01886381183141E10,
Contopus_cooperi3,1.4544163590485853E10,
Cuculus_canorus2,2.3339876218193283E10,
Cuculus_canorus3,4.846837016886993E9,
Onychorhynchus_coronatus1,1.0209189190535784E10,
Tringa_ochropus2,1.7859493406070553E10,
Tringa_ochropus3,1.2574937389580423E10,
Tringa_solitaria2,1.2482061997467575E10,
Tringa_solitaria3,2.822307790410114E10,
Vireo_olivaceus1,1.999423276395496E10,
Vireo_olivaceus2,2.8779670003528763E10,
