system:index,key,.geo
Accipiter_gentilis1,4.576939051586752E10,
Accipiter_gentilis3,2.8168456442359977E9,
Accipiter_nisus1,4.2904809230563135E9,
Accipiter_nisus2,1.4593471604519056E10,
Accipiter_nisus3,5.512652870022893E9,
Bucephala_clangula2,3.793280108027291E10,
Bucephala_clangula3,1.4769157941910042E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,8.970270333483515E9,
Coccyzus_americanus3,1.9284417242319958E10,
Contopus_cooperi2,2.7516376793768944E10,
Contopus_cooperi3,1.0727971809129103E10,
Cuculus_canorus2,2.248008908712142E10,
Cuculus_canorus3,1.0432299362678318E10,
Onychorhynchus_coronatus1,8.978005914869886E9,
Tringa_ochropus2,1.7216860275827675E10,
Tringa_ochropus3,2.0337470211457794E10,
Tringa_solitaria2,2.1313840521702057E10,
Tringa_solitaria3,2.1276682589338383E10,
Vireo_olivaceus1,1.5781450926876213E10,
Vireo_olivaceus2,3.055601813883699E10,
