system:index,name,treecover2000,.geo
Accipiter_gentilis1,Accipiter_gentilis1,1.1679769200746807E13,
Accipiter_gentilis3,Accipiter_gentilis3,7.635994276651586E11,
Accipiter_nisus1,Accipiter_nisus1,2.24464202783148E12,
Accipiter_nisus2,Accipiter_nisus2,5.43057977186553E12,
Accipiter_nisus3,Accipiter_nisus3,1.7968384221429067E12,
Bucephala_clangula2,Bucephala_clangula2,8.563386793778659E12,
Bucephala_clangula3,Bucephala_clangula3,3.870249126739171E12,
Coccyzus_americanus1,Coccyzus_americanus1,0.0,
Coccyzus_americanus2,Coccyzus_americanus2,1.6870556609287368E12,
Coccyzus_americanus3,Coccyzus_americanus3,8.083096071431191E12,
Contopus_cooperi2,Contopus_cooperi2,3.9902470916644365E12,
Contopus_cooperi3,Contopus_cooperi3,6.670481083793817E12,
Cuculus_canorus2,Cuculus_canorus2,9.222662725388734E12,
Cuculus_canorus3,Cuculus_canorus3,4.886706259202695E12,
Onychorhynchus_coronatus1,Onychorhynchus_coronatus1,5.376796601444841E12,
Tringa_ochropus2,Tringa_ochropus2,5.595008778501696E12,
Tringa_ochropus3,Tringa_ochropus3,7.05537748106808E12,
Tringa_solitaria2,Tringa_solitaria2,2.5703351685618013E12,
Tringa_solitaria3,Tringa_solitaria3,8.998096158377613E12,
Vireo_olivaceus1,Vireo_olivaceus1,6.997318222957705E12,
Vireo_olivaceus2,Vireo_olivaceus2,4.807012570770742E12,
