system:index,key,.geo
Accipiter_gentilis1,4.265103469690423E10,
Accipiter_gentilis3,1.6765601250918748E9,
Accipiter_nisus1,2.2195247219746885E9,
Accipiter_nisus2,2.474049015532143E10,
Accipiter_nisus3,3.1753239878310933E9,
Bucephala_clangula2,3.7781607170565025E10,
Bucephala_clangula3,1.1132307399199224E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,6.969077405503446E9,
Coccyzus_americanus3,1.6968458504691393E10,
Contopus_cooperi2,1.4448498119441557E10,
Contopus_cooperi3,9.14120322516656E9,
Cuculus_canorus2,2.916588909770914E10,
Cuculus_canorus3,5.920423720351404E9,
Onychorhynchus_coronatus1,7.358616991973593E9,
Tringa_ochropus2,2.5399834281039623E10,
Tringa_ochropus3,1.4650239298902206E10,
Tringa_solitaria2,9.51613572091891E9,
Tringa_solitaria3,1.8003637050090767E10,
Vireo_olivaceus1,1.3206513057864681E10,
Vireo_olivaceus2,2.028716558556563E10,
