system:index,key,.geo
Accipiter_gentilis1,5.822705295458933E10,
Accipiter_gentilis3,2.7908090021417985E9,
Accipiter_nisus1,4.845409230966724E9,
Accipiter_nisus2,3.3212839696260017E10,
Accipiter_nisus3,4.581936289881254E9,
Bucephala_clangula2,4.8108211003250175E10,
Bucephala_clangula3,1.6097905641646242E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,9.451301847696247E9,
Coccyzus_americanus3,3.073390348810873E10,
Contopus_cooperi2,1.979619655754614E10,
Contopus_cooperi3,1.8752402021439957E10,
Cuculus_canorus2,4.101042918043735E10,
Cuculus_canorus3,8.192971320934373E9,
Onychorhynchus_coronatus1,1.2258489550840775E10,
Tringa_ochropus2,3.4767542199861206E10,
Tringa_ochropus3,1.5839586663701406E10,
Tringa_solitaria2,1.2504272794633581E10,
Tringa_solitaria3,3.473431401011172E10,
Vireo_olivaceus1,2.568603128918624E10,
Vireo_olivaceus2,2.5790739690106083E10,
