system:index,key,.geo
Accipiter_gentilis1,1.0096055148253744E10,
Accipiter_gentilis3,1.103590931375E8,
Accipiter_nisus1,8.645054756125E7,
Accipiter_nisus2,5.054376864107496E9,
Accipiter_nisus3,1.5115266405000001E7,
Bucephala_clangula2,8.671420045792496E9,
Bucephala_clangula3,3.251878241235E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,2.1808096559975004E9,
Coccyzus_americanus3,7.064852886810009E9,
Contopus_cooperi2,4.439011516368749E9,
Contopus_cooperi3,4.801220174605003E9,
Cuculus_canorus2,5.163120645191247E9,
Cuculus_canorus3,3.6681450315250003E8,
Onychorhynchus_coronatus1,2.8700877424149995E9,
Tringa_ochropus2,4.64492463610125E9,
Tringa_ochropus3,1.5662764079350004E9,
Tringa_solitaria2,3.2972587391125E9,
Tringa_solitaria3,7.13735163185501E9,
Vireo_olivaceus1,6.142074674782502E9,
Vireo_olivaceus2,5.737342092713752E9,
