system:index,key,.geo
Accipiter_gentilis1,2.077127549326248E10,
Accipiter_gentilis3,1.111729488475E8,
Accipiter_nisus1,1.9537508193625E8,
Accipiter_nisus2,1.2057756306793741E10,
Accipiter_nisus3,6.365389019749999E7,
Bucephala_clangula2,1.8824575197783737E10,
Bucephala_clangula3,3.1527248176512504E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,1.5142432947675006E9,
Coccyzus_americanus3,1.2937764695529995E10,
Contopus_cooperi2,8.345595602686244E9,
Contopus_cooperi3,8.058263401090002E9,
Cuculus_canorus2,1.2358198150553738E10,
Cuculus_canorus3,3.8783466319749993E8,
Onychorhynchus_coronatus1,3.7943332362149997E9,
Tringa_ochropus2,1.1578548158107492E10,
Tringa_ochropus3,1.0690331886199999E9,
Tringa_solitaria2,6.631669968901245E9,
Tringa_solitaria3,1.3138471132752493E10,
Vireo_olivaceus1,1.1086178049447495E10,
Vireo_olivaceus2,7.497973716728756E9,
