system:index,key,.geo
Accipiter_gentilis1,2.7305509683252804E10,
Accipiter_gentilis3,3.749818825865626E8,
Accipiter_nisus1,3.3442167652781254E8,
Accipiter_nisus2,1.1316253833286554E10,
Accipiter_nisus3,1.6575957558812502E8,
Bucephala_clangula2,2.353819261733561E10,
Bucephala_clangula3,6.988716923089687E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,3.9871282350249996E9,
Coccyzus_americanus3,1.8412725061155033E10,
Contopus_cooperi2,1.5611097533137812E10,
Contopus_cooperi3,1.2285684694921915E10,
Cuculus_canorus2,1.2011498287292807E10,
Cuculus_canorus3,8.649816684812499E8,
Onychorhynchus_coronatus1,7.567566353596264E9,
Tringa_ochropus2,1.0611657399507488E10,
Tringa_ochropus3,2.8488674087168756E9,
Tringa_solitaria2,1.1930728731382183E10,
Tringa_solitaria3,1.876368963408191E10,
Vireo_olivaceus1,1.6419831821146906E10,
Vireo_olivaceus2,1.3947728653352182E10,
