system:index,key,.geo
Accipiter_gentilis1,2.84181137604319E10,
Accipiter_gentilis3,4.095853473E8,
Accipiter_nisus1,3.899278171804689E9,
Accipiter_nisus2,1.1617783103001253E10,
Accipiter_nisus3,7.466081571606247E8,
Bucephala_clangula2,2.382536205122657E10,
Bucephala_clangula3,6.402200288929689E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,4.508888441434997E9,
Coccyzus_americanus3,1.3045109229915619E10,
Contopus_cooperi2,1.2436260564341879E10,
Contopus_cooperi3,5.519025927788121E9,
Cuculus_canorus2,1.6288834319488125E10,
Cuculus_canorus3,1.3143490170525E9,
Onychorhynchus_coronatus1,3.618005586804999E9,
Tringa_ochropus2,1.478544676596188E10,
Tringa_ochropus3,7.709040903327487E9,
Tringa_solitaria2,9.937436868267504E9,
Tringa_solitaria3,1.3567158894953121E10,
Vireo_olivaceus1,7.64433671452125E9,
Vireo_olivaceus2,1.7151741884550615E10,
