system:index,key,.geo
Accipiter_gentilis1,3.556873391320253E10,
Accipiter_gentilis3,8.287870607156253E8,
Accipiter_nisus1,7.911094877109373E8,
Accipiter_nisus2,2.205448351397504E10,
Accipiter_nisus3,1.5556116971981251E9,
Bucephala_clangula2,3.27630123358066E10,
Bucephala_clangula3,6.943546912786249E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,4.339539714443749E9,
Coccyzus_americanus3,1.218044784222187E10,
Contopus_cooperi2,1.1457308234835623E10,
Contopus_cooperi3,6.201253903493752E9,
Cuculus_canorus2,2.3942197608116302E10,
Cuculus_canorus3,2.7161283666375003E9,
Onychorhynchus_coronatus1,4.858625785138749E9,
Tringa_ochropus2,2.187851810307286E10,
Tringa_ochropus3,9.105950002124998E9,
Tringa_solitaria2,8.029210112523436E9,
Tringa_solitaria3,1.2679037452431868E10,
Vireo_olivaceus1,9.045291589764372E9,
Vireo_olivaceus2,1.4870440411178747E10,
