system:index,key,.geo
Accipiter_gentilis1,4.714765072696753E10,
Accipiter_gentilis3,2.6308659823872356E9,
Accipiter_nisus1,5.759208158186518E9,
Accipiter_nisus2,1.644278698445708E10,
Accipiter_nisus3,3.843602131798767E9,
Bucephala_clangula2,3.724278935714717E10,
Bucephala_clangula3,1.867847338990827E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,1.189016683711956E10,
Coccyzus_americanus3,2.9213429972865074E10,
Contopus_cooperi2,2.535555043752201E10,
Contopus_cooperi3,1.876055110650291E10,
Cuculus_canorus2,2.5341436854419537E10,
Cuculus_canorus3,7.524255766792968E9,
Onychorhynchus_coronatus1,1.4430570833439262E10,
Tringa_ochropus2,1.9376555393213837E10,
Tringa_ochropus3,1.5090870573000166E10,
Tringa_solitaria2,1.814439504095346E10,
Tringa_solitaria3,3.179526386276911E10,
Vireo_olivaceus1,2.485105200210996E10,
Vireo_olivaceus2,3.026702711130755E10,
