system:index,key,.geo
Accipiter_gentilis1,5.9632580952253105E10,
Accipiter_gentilis3,2.2556117011100597E9,
Accipiter_nisus1,3.6728958177776985E9,
Accipiter_nisus2,3.3033862830027676E10,
Accipiter_nisus3,4.425208399858281E9,
Bucephala_clangula2,5.276076580065693E10,
Bucephala_clangula3,1.3629860269823679E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,8.612257022074339E9,
Coccyzus_americanus3,1.848141828241286E10,
Contopus_cooperi2,2.2106556094043594E10,
Contopus_cooperi3,8.954793126815897E9,
Cuculus_canorus2,3.9670578718803535E10,
Cuculus_canorus3,9.941809521021336E9,
Onychorhynchus_coronatus1,7.645005516066017E9,
Tringa_ochropus2,3.48064998224973E10,
Tringa_ochropus3,1.8485095315705082E10,
Tringa_solitaria2,1.6834241030779673E10,
Tringa_solitaria3,2.0434036317995197E10,
Vireo_olivaceus1,1.3849449818722267E10,
Vireo_olivaceus2,2.2466690185750656E10,
