system:index,key,.geo
Accipiter_gentilis1,5.246762784563093E10,
Accipiter_gentilis3,1.1596911812575784E9,
Accipiter_nisus1,2.691269349823438E9,
Accipiter_nisus2,3.1520577185275143E10,
Accipiter_nisus3,2.404478823155937E9,
Bucephala_clangula2,4.6115315232465416E10,
Bucephala_clangula3,1.2391588934416725E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,7.780561389105625E9,
Coccyzus_americanus3,2.258777754606357E10,
Contopus_cooperi2,1.777754480439141E10,
Contopus_cooperi3,1.1864185929742327E10,
Cuculus_canorus2,3.6035842131227325E10,
Cuculus_canorus3,3.9951419717104692E9,
Onychorhynchus_coronatus1,8.609841785118114E9,
Tringa_ochropus2,3.252501304916061E10,
Tringa_ochropus3,1.3379486917297201E10,
Tringa_solitaria2,1.3101360898246479E10,
Tringa_solitaria3,2.3542349751127636E10,
Vireo_olivaceus1,1.6707874712416862E10,
Vireo_olivaceus2,2.555334248381399E10,
