system:index,key,.geo
Accipiter_gentilis1,2.2171508186511234E10,
Accipiter_gentilis3,2.141045243175E8,
Accipiter_nisus1,7.357422803E7,
Accipiter_nisus2,9.348659302953745E9,
Accipiter_nisus3,5.317144509250001E7,
Bucephala_clangula2,1.976938322503124E10,
Bucephala_clangula3,3.8570415056799974E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,1.725805704262499E9,
Coccyzus_americanus3,1.2285516711484993E10,
Contopus_cooperi2,1.2607576742153746E10,
Contopus_cooperi3,8.122727187119993E9,
Cuculus_canorus2,9.658349462317501E9,
Cuculus_canorus3,4.1592205756499994E8,
Onychorhynchus_coronatus1,4.452862166289998E9,
Tringa_ochropus2,8.612206981784996E9,
Tringa_ochropus3,1.8821798001625E9,
Tringa_solitaria2,1.021973658743E10,
Tringa_solitaria3,1.2449570032804993E10,
Vireo_olivaceus1,1.091702182359749E10,
Vireo_olivaceus2,8.685806436629997E9,
