system:index,key,.geo
Accipiter_gentilis1,1.856478700625968E10,
Accipiter_gentilis3,4.825393120574999E8,
Accipiter_nisus1,7.826856633390625E8,
Accipiter_nisus2,8.616459530875927E9,
Accipiter_nisus3,1.0320724102768756E9,
Bucephala_clangula2,1.54938172909803E10,
Bucephala_clangula3,6.049509067097188E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,3.686418456183125E9,
Coccyzus_americanus3,9.982326466292507E9,
Contopus_cooperi2,8.803745290917498E9,
Contopus_cooperi3,4.845022107660001E9,
Cuculus_canorus2,1.0174335242849678E10,
Cuculus_canorus3,1.4875759062793748E9,
Onychorhynchus_coronatus1,3.4830575902275004E9,
Tringa_ochropus2,8.234135865874998E9,
Tringa_ochropus3,8.142080069104998E9,
Tringa_solitaria2,6.49202685709281E9,
Tringa_solitaria3,1.085506827947063E10,
Vireo_olivaceus1,6.194611347021874E9,
Vireo_olivaceus2,1.2017161543419693E10,
