system:index,key,.geo
Accipiter_gentilis1,4.172296541804224E10,
Accipiter_gentilis3,1.7333846887471864E9,
Accipiter_nisus1,7.7947333549408E9,
Accipiter_nisus2,1.6465740940414215E10,
Accipiter_nisus3,3.3350883058660164E9,
Bucephala_clangula2,3.3060898262210293E10,
Bucephala_clangula3,1.3679310152613937E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,8.858110692330038E9,
Coccyzus_americanus3,2.177975170372005E10,
Contopus_cooperi2,1.737538182799272E10,
Contopus_cooperi3,1.125710622237106E10,
Cuculus_canorus2,2.7194189010047592E10,
Cuculus_canorus3,5.060512581829104E9,
Onychorhynchus_coronatus1,7.938899910304768E9,
Tringa_ochropus2,2.2127544776472088E10,
Tringa_ochropus3,1.5329765114420858E10,
Tringa_solitaria2,1.2509404509848837E10,
Tringa_solitaria3,2.361658731419896E10,
Vireo_olivaceus1,1.4487556519224848E10,
Vireo_olivaceus2,2.6706420642731724E10,
