system:index,key,.geo
Accipiter_gentilis1,2.1302035143836243E10,
Accipiter_gentilis3,2.570392435425E8,
Accipiter_nisus1,1.868793563175E8,
Accipiter_nisus2,1.1264219014457493E10,
Accipiter_nisus3,3.3586380991999996E8,
Bucephala_clangula2,1.8148623055784985E10,
Bucephala_clangula3,5.201830807141249E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,2.2566091201999993E9,
Coccyzus_americanus3,1.0355068924375008E10,
Contopus_cooperi2,8.9482382162525E9,
Contopus_cooperi3,4.688815511690004E9,
Cuculus_canorus2,1.1829601326976244E10,
Cuculus_canorus3,4.803838226750002E8,
Onychorhynchus_coronatus1,3.2105401923975024E9,
Tringa_ochropus2,1.1132497370447493E10,
Tringa_ochropus3,3.161913995745001E9,
Tringa_solitaria2,6.095375849202498E9,
Tringa_solitaria3,1.0586866249520006E10,
Vireo_olivaceus1,5.691330604522505E9,
Vireo_olivaceus2,1.147952378947625E10,
