system:index,key,.geo
Accipiter_gentilis1,4.596851843810112E10,
Accipiter_gentilis3,2.97988478504332E9,
Accipiter_nisus1,6.955850173906966E9,
Accipiter_nisus2,1.7055889708001698E10,
Accipiter_nisus3,5.189838556152017E9,
Bucephala_clangula2,3.2689365936910435E10,
Bucephala_clangula3,2.1748434086242317E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,1.2186191950261353E10,
Coccyzus_americanus3,2.931670441623064E10,
Contopus_cooperi2,2.199099709086605E10,
Contopus_cooperi3,1.6983036643998726E10,
Cuculus_canorus2,2.8182935475102383E10,
Cuculus_canorus3,7.568268122609302E9,
Onychorhynchus_coronatus1,1.1761834180122976E10,
Tringa_ochropus2,2.0293260877979942E10,
Tringa_ochropus3,1.7398774000871433E10,
Tringa_solitaria2,1.331924015696787E10,
Tringa_solitaria3,3.3014659577733273E10,
Vireo_olivaceus1,2.341603060383567E10,
Vireo_olivaceus2,3.2060000134747116E10,
