system:index,key,.geo
Accipiter_gentilis1,3.4355432881480045E10,
Accipiter_gentilis3,1.9407655392499998E8,
Accipiter_nisus1,3.384486400925001E8,
Accipiter_nisus2,2.2397093507132545E10,
Accipiter_nisus3,3.774227408875E8,
Bucephala_clangula2,3.2207596131598797E10,
Bucephala_clangula3,3.9642599624562507E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,2.3198427162625E9,
Coccyzus_americanus3,1.2307739696800005E10,
Contopus_cooperi2,1.0823025559657503E10,
Contopus_cooperi3,5.716150454445001E9,
Cuculus_canorus2,2.2945928026603794E10,
Cuculus_canorus3,1.0642957122425001E9,
Onychorhynchus_coronatus1,3.7941883445725E9,
Tringa_ochropus2,2.222736606618505E10,
Tringa_ochropus3,6.364978402779998E9,
Tringa_solitaria2,9.241434344112505E9,
Tringa_solitaria3,1.2486695234295008E10,
Vireo_olivaceus1,8.257488167782493E9,
Vireo_olivaceus2,1.3145605662223751E10,
