system:index,key,.geo
Accipiter_gentilis1,4.0009743256157486E10,
Accipiter_gentilis3,2.4905095266250002E8,
Accipiter_nisus1,1.7934055885375002E8,
Accipiter_nisus2,2.4080309379532486E10,
Accipiter_nisus3,3.324911748475001E8,
Bucephala_clangula2,3.860320228305123E10,
Bucephala_clangula3,2.942708325290001E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,1.799345730775001E9,
Coccyzus_americanus3,6.337582790107496E9,
Contopus_cooperi2,1.4533311797874998E10,
Contopus_cooperi3,2.0931323250125005E9,
Cuculus_canorus2,2.446301716507999E10,
Cuculus_canorus3,9.58945654955E8,
Onychorhynchus_coronatus1,1.5837917377175004E9,
Tringa_ochropus2,2.378675711306374E10,
Tringa_ochropus3,4.296161353075001E9,
Tringa_solitaria2,1.2915676636662495E10,
Tringa_solitaria3,6.590177860427495E9,
Vireo_olivaceus1,3.6797559082275E9,
Vireo_olivaceus2,8.260062134603751E9,
