system:index,key,.geo
Accipiter_gentilis1,3.046570325995952E10,
Accipiter_gentilis3,6.104838544246092E8,
Accipiter_nisus1,1.3644645861497657E9,
Accipiter_nisus2,1.5872795640016088E10,
Accipiter_nisus3,5.552499754298437E8,
Bucephala_clangula2,2.586224260136554E10,
Bucephala_clangula3,8.769188547789139E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,5.535400757188434E9,
Coccyzus_americanus3,2.3575138551395306E10,
Contopus_cooperi2,1.3206338727479927E10,
Contopus_cooperi3,1.4862640588006878E10,
Cuculus_canorus2,1.7742627687196487E10,
Cuculus_canorus3,1.4812389620009372E9,
Onychorhynchus_coronatus1,8.499419359651722E9,
Tringa_ochropus2,1.6129611184434841E10,
Tringa_ochropus3,2.9150322847118735E9,
Tringa_solitaria2,9.32241981728289E9,
Tringa_solitaria3,2.4494442727006718E10,
Vireo_olivaceus1,2.0357518324296566E10,
Vireo_olivaceus2,1.6728982031063745E10,
