system:index,name,treecover2000,.geo
Accipiter_gentilis1,Accipiter_gentilis1,1.1574154198779527E13,
Accipiter_gentilis3,Accipiter_gentilis3,7.53656070442821E11,
Accipiter_nisus1,Accipiter_nisus1,2.218430776536132E12,
Accipiter_nisus2,Accipiter_nisus2,5.383081178582259E12,
Accipiter_nisus3,Accipiter_nisus3,1.7725274957653938E12,
Bucephala_clangula2,Bucephala_clangula2,8.489321363922061E12,
Bucephala_clangula3,Bucephala_clangula3,3.8298791669915454E12,
Coccyzus_americanus1,Coccyzus_americanus1,0.0,
Coccyzus_americanus2,Coccyzus_americanus2,1.671887812841448E12,
Coccyzus_americanus3,Coccyzus_americanus3,8.0413279516134E12,
Contopus_cooperi2,Contopus_cooperi2,3.9589562927124336E12,
Contopus_cooperi3,Contopus_cooperi3,6.646355653290911E12,
Cuculus_canorus2,Cuculus_canorus2,9.133716801944496E12,
Cuculus_canorus3,Cuculus_canorus3,4.843220761669671E12,
Onychorhynchus_coronatus1,Onychorhynchus_coronatus1,5.360598581857505E12,
Tringa_ochropus2,Tringa_ochropus2,5.545742082271591E12,
Tringa_ochropus3,Tringa_ochropus3,6.985400747386227E12,
Tringa_solitaria2,Tringa_solitaria2,2.549207355657642E12,
Tringa_solitaria3,Tringa_solitaria3,8.950533466355924E12,
Vireo_olivaceus1,Vireo_olivaceus1,6.961584595586178E12,
Vireo_olivaceus2,Vireo_olivaceus2,4.769841942345696E12,
