system:index,name,treecover2000,.geo
Accipiter_gentilis1,Accipiter_gentilis1,1.1642303783175027E13,
Accipiter_gentilis3,Accipiter_gentilis3,7.597340524023822E11,
Accipiter_nisus1,Accipiter_nisus1,2.234666472939797E12,
Accipiter_nisus2,Accipiter_nisus2,5.414260472025256E12,
Accipiter_nisus3,Accipiter_nisus3,1.787835573112695E12,
Bucephala_clangula2,Bucephala_clangula2,8.537786573978973E12,
Bucephala_clangula3,Bucephala_clangula3,3.855098009127555E12,
Coccyzus_americanus1,Coccyzus_americanus1,0.0,
Coccyzus_americanus2,Coccyzus_americanus2,1.6817354582225532E12,
Coccyzus_americanus3,Coccyzus_americanus3,8.067850289949715E12,
Contopus_cooperi2,Contopus_cooperi2,3.9790665756440093E12,
Contopus_cooperi3,Contopus_cooperi3,6.661402369964288E12,
Cuculus_canorus2,Cuculus_canorus2,9.191797825444197E12,
Cuculus_canorus3,Cuculus_canorus3,4.871901571760851E12,
Onychorhynchus_coronatus1,Onychorhynchus_coronatus1,5.37037643060743E12,
Tringa_ochropus2,Tringa_ochropus2,5.577943272579921E12,
Tringa_ochropus3,Tringa_ochropus3,7.03131499608756E12,
Tringa_solitaria2,Tringa_solitaria2,2.5626280101936377E12,
Tringa_solitaria3,Tringa_solitaria3,8.980806423854473E12,
Vireo_olivaceus1,Vireo_olivaceus1,6.983849726730212E12,
Vireo_olivaceus2,Vireo_olivaceus2,4.793394978941055E12,
