system:index,key,.geo
Accipiter_gentilis1,5.503142094560977E10,
Accipiter_gentilis3,1.8406996469885159E9,
Accipiter_nisus1,3.822482637392187E9,
Accipiter_nisus2,3.251030280348515E10,
Accipiter_nisus3,3.27634142335719E9,
Bucephala_clangula2,4.526746119665393E10,
Bucephala_clangula3,1.4217653896933437E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,7.130814606971566E9,
Coccyzus_americanus3,1.942460496723468E10,
Contopus_cooperi2,1.8993143716174377E10,
Contopus_cooperi3,1.1787348196780775E10,
Cuculus_canorus2,3.8819621621530365E10,
Cuculus_canorus3,5.501672161189847E9,
Onychorhynchus_coronatus1,9.919649362808125E9,
Tringa_ochropus2,3.360218480870702E10,
Tringa_ochropus3,1.1455137125400007E10,
Tringa_solitaria2,1.0772326215944838E10,
Tringa_solitaria3,2.065630288144826E10,
Vireo_olivaceus1,1.5620936860260933E10,
Vireo_olivaceus2,2.177045507956742E10,
