system:index,key,.geo
Accipiter_gentilis1,4.0108967088213356E10,
Accipiter_gentilis3,1.8136049065038288E9,
Accipiter_nisus1,2.154547021284296E9,
Accipiter_nisus2,1.2506780944685226E10,
Accipiter_nisus3,3.416683424417657E9,
Bucephala_clangula2,3.4316689775635696E10,
Bucephala_clangula3,1.148681984959134E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,7.166589180690945E9,
Coccyzus_americanus3,1.5077660017296885E10,
Contopus_cooperi2,2.5841044942958923E10,
Contopus_cooperi3,8.055755117505313E9,
Cuculus_canorus2,1.6841325686862816E10,
Cuculus_canorus3,5.415582802719687E9,
Onychorhynchus_coronatus1,6.756687976793751E9,
Tringa_ochropus2,1.37529185155439E10,
Tringa_ochropus3,1.2460589765730942E10,
Tringa_solitaria2,2.0767562886726105E10,
Tringa_solitaria3,1.62650503287886E10,
Vireo_olivaceus1,1.198887075310109E10,
Vireo_olivaceus2,2.7084548978820633E10,
