system:index,key,.geo
Accipiter_gentilis1,1.3088810056458748E10,
Accipiter_gentilis3,1.3159060082749999E8,
Accipiter_nisus1,2.4158795077625E8,
Accipiter_nisus2,6.242459386143747E9,
Accipiter_nisus3,3.937506366925E8,
Bucephala_clangula2,1.1544233444908749E10,
Bucephala_clangula3,2.8266988753650007E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,1.61228441956E9,
Coccyzus_americanus3,6.130699456174994E9,
Contopus_cooperi2,6.188278996548748E9,
Contopus_cooperi3,2.330348654785001E9,
Cuculus_canorus2,6.772322434131249E9,
Cuculus_canorus3,6.377771460325001E8,
Onychorhynchus_coronatus1,1.5652034343125007E9,
Tringa_ochropus2,5.6895168799124975E9,
Tringa_ochropus3,5.88201518547E9,
Tringa_solitaria2,5.084773994728746E9,
Tringa_solitaria3,6.519904284629994E9,
Vireo_olivaceus1,3.2165701717225003E9,
Vireo_olivaceus2,7.225587919984997E9,
