system:index,key,.geo
Accipiter_gentilis1,2.757328134859847E10,
Accipiter_gentilis3,6.1545872307875E8,
Accipiter_nisus1,6.235228055237498E8,
Accipiter_nisus2,9.35040194161657E9,
Accipiter_nisus3,7.054976866456252E8,
Bucephala_clangula2,2.381464129429533E10,
Bucephala_clangula3,7.747501286279378E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,4.905284328978125E9,
Coccyzus_americanus3,1.5525070537806873E10,
Contopus_cooperi2,1.7475682522710644E10,
Contopus_cooperi3,9.915369701462494E9,
Cuculus_canorus2,1.0541662452363445E10,
Cuculus_canorus3,1.421478121018125E9,
Onychorhynchus_coronatus1,7.561151910644995E9,
Tringa_ochropus2,9.301179650844694E9,
Tringa_ochropus3,4.329091939695627E9,
Tringa_solitaria2,1.4060856529601574E10,
Tringa_solitaria3,1.622115031224437E10,
Vireo_olivaceus1,1.288868061325562E10,
Vireo_olivaceus2,1.6134252387532816E10,
