system:index,key,.geo
Accipiter_gentilis1,1.9481326365573757E10,
Accipiter_gentilis3,2.5494930568749997E8,
Accipiter_nisus1,3.178741048525E8,
Accipiter_nisus2,8.388541492216249E9,
Accipiter_nisus3,3.833186339375E8,
Bucephala_clangula2,1.5796499471552505E10,
Bucephala_clangula3,5.60461518316625E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,2.4475078052775E9,
Coccyzus_americanus3,9.774203548244995E9,
Contopus_cooperi2,1.0079689317920004E10,
Contopus_cooperi3,4.707501323964999E9,
Cuculus_canorus2,8.98014909159375E9,
Cuculus_canorus3,3.92857355795E8,
Onychorhynchus_coronatus1,2.847297648217499E9,
Tringa_ochropus2,8.4025935690825E9,
Tringa_ochropus3,3.0951256195200005E9,
Tringa_solitaria2,7.158011647206253E9,
Tringa_solitaria3,1.0292598608779997E10,
Vireo_olivaceus1,6.604887303219999E9,
Vireo_olivaceus2,1.1541131961548756E10,
